ID,SKU,Name,Images
821,RETATRUTIDE_20MG_VIAL,Retatrutide 20mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/821-retatrutide-20mg-vial.png
822,RETATRUTIDE_30MG_VIAL,Retatrutide 30mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/822-retatrutide-30mg-vial.png
823,RETATRUTIDE_50MG_VIAL,Retatrutide 50mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/823-retatrutide-50mg-vial.png
824,TIRZEPATIDE_50MG_VIAL,Tirzepatide 50mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/824-tirzepatide-50mg-vial.png
825,KPV_10MG_VIAL,KPV 10mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/825-kpv-10mg-vial.png
826,IPAMORELIN_10MG_VIAL,Ipamorelin 10mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/826-ipamorelin-10mg-vial.png
827,TESAMORELIN_IPAMORELIN_VIAL,Tesamorelin / Ipamorelin 12mg/3mg Vial,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/827-tesamorelin-ipamorelin-12mg-3mg-vial.png
828,RETATRUTIDE_48MG_PEN,Retatrutide 48mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/828-retatrutide-48mg-pen.png
829,CAGRILINTIDE_10MG_PEN,Cagrilintide 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/829-cagrilintide-10mg-pen.png
830,BPC_157_10MG_PEN,BPC-157 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/830-bpc-157-10mg-pen.png
831,TB_500_10MG_PEN,TB-500 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/831-tb-500-10mg-pen.png
832,NAD_1000MG_PEN,NAD+ 1000mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/832-nad-1000mg-pen.png
833,NAD_1600MG_PEN,NAD+ 1600mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/833-nad-1600mg-pen.png
834,EPITHALON_50MG_PEN,Epithalon 50mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/834-epithalon-50mg-pen.png
835,CJC_1295_10MG_PEN,CJC-1295 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/835-cjc-1295-10mg-pen.png
836,IPAMORELIN_30MG_PEN,Ipamorelin 30mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/836-ipamorelin-30mg-pen.png
837,IGF_LR3_1MG_PEN,IGF-LR3 1mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/837-igf-lr3-1mg-pen.png
838,KISSPEPTIN_10MG_PEN,Kisspeptin 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/838-kisspeptin-10mg-pen.png
839,DIHEXA_10MG_PEN,Dihexa 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/839-dihexa-10mg-pen.png
840,MELANOTAN_II_10MG_PEN,Melanotan II 10mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/840-melanotan-ii-10mg-pen.png
841,GLUTATHIONE_600MG_PEN,Glutathione 600mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/841-glutathione-600mg-pen.png
842,MOTS_C_40MG_PEN,MOTS-C 40mg Pen,https://raw.githubusercontent.com/PalmBeach-Vitality/store/cursor/all-product-white-backgrounds-3232/woocommerce-migration/data/standardized-product-images/842-mots-c-40mg-pen.png
