creation_id,compound_name,printed_name,mg,conc,vol,len_before,len_after
PBVita-Lab-238,SS-31,SS-31,10mg,1 mg/ml,10ml,5896,6667
PBVita-Lab-208,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5705,6431
PBVita-Lab-006,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5984,6756
PBVita-Lab-402,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5878,6650
PBVita-Lab-218,NAD+,NAD+,1000mg,100 mg/ml,10ml,5841,6619
PBVita-Lab-071,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5872,6648
PBVita-Lab-492,Selank,Selank,10mg,1 mg/ml,10ml,5887,6659
PBVita-Lab-046,TA-1,TA-1,10mg,1 mg/ml,10ml,5848,6618
PBVita-Lab-106,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5933,6710
PBVita-Lab-135,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,4110,4818
PBVita-Lab-193,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5872,6668
PBVita-Lab-240,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5914,6710
PBVita-Lab-233,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5737,6549
PBVita-Lab-007,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5777,6568
PBVita-Lab-403,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5717,6490
PBVita-Lab-138,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5893,6666
PBVita-Lab-072,TB-500,TB-500,10mg,1 mg/ml,10ml,5763,6535
PBVita-Lab-493,SS-31,SS-31,10mg,1 mg/ml,10ml,5774,6500
PBVita-Lab-047,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,4094,4809
PBVita-Lab-108,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5874,6646
PBVita-Lab-137,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5781,6553
PBVita-Lab-196,NAD+,NAD+,1000mg,100 mg/ml,10ml,4068,4795
PBVita-Lab-243,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5906,6682
PBVita-Lab-128,Selank,Selank,10mg,1 mg/ml,10ml,5963,6735
PBVita-Lab-008,TA-1,TA-1,10mg,1 mg/ml,10ml,4188,4907
PBVita-Lab-404,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5789,6515
PBVita-Lab-224,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5869,6645
PBVita-Lab-073,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5852,6648
PBVita-Lab-494,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5702,6498
PBVita-Lab-048,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5751,6563
PBVita-Lab-109,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5844,6635
PBVita-Lab-140,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5924,6697
PBVita-Lab-420,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5890,6663
PBVita-Lab-244,TB-500,TB-500,10mg,1 mg/ml,10ml,4093,4810
PBVita-Lab-209,SS-31,SS-31,10mg,1 mg/ml,10ml,5960,6731
PBVita-Lab-009,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5912,6686
PBVita-Lab-405,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5843,6615
PBVita-Lab-428,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5826,6598
PBVita-Lab-074,NAD+,NAD+,1000mg,100 mg/ml,10ml,5876,6654
PBVita-Lab-495,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5904,6680
PBVita-Lab-049,Selank,Selank,10mg,1 mg/ml,10ml,4201,4918
PBVita-Lab-110,TA-1,TA-1,10mg,1 mg/ml,10ml,5620,6346
PBVita-Lab-141,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5832,6609
PBVita-Lab-421,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5812,6588
PBVita-Lab-245,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5840,6636
PBVita-Lab-129,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5806,6602
PBVita-Lab-010,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,5894,6706
PBVita-Lab-406,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,4140,4870
PBVita-Lab-453,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5989,6762
PBVita-Lab-075,BPC-157,BPC-157,10mg,1 mg/ml,10ml,4028,4744
PBVita-Lab-496,TB-500,TB-500,10mg,1 mg/ml,10ml,5819,6591
PBVita-Lab-051,SS-31,SS-31,10mg,1 mg/ml,10ml,5894,6665
PBVita-Lab-111,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5875,6649
PBVita-Lab-142,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5854,6626
PBVita-Lab-247,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5802,6574
PBVita-Lab-489,NAD+,NAD+,1000mg,100 mg/ml,10ml,5844,6622
PBVita-Lab-011,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5993,6769
PBVita-Lab-146,Selank,Selank,10mg,1 mg/ml,10ml,5706,6432
PBVita-Lab-343,TA-1,TA-1,10mg,1 mg/ml,10ml,5898,6668
PBVita-Lab-076,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,6065,6842
PBVita-Lab-497,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5865,6641
PBVita-Lab-052,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,5865,6661
PBVita-Lab-112,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5859,6655
PBVita-Lab-143,KLOW,KLOW,10/10/10/50mg,1mg/1mg/1mg/10mg/ml,10ml,4134,4895
PBVita-Lab-248,Wolverine,Wolverine,10mg/10mg,1mg/1mg/ml,10ml,5784,6575
PBVita-Lab-185,BPC-157,BPC-157,10mg,1 mg/ml,10ml,5467,6193
PBVita-Lab-013,BPC-157,BPC-157,20mg,2 mg/ml,10ml,4087,4803
PBVita-Lab-407,TB-500,TB-500,10mg,1 mg/ml,10ml,5832,6604
PBVita-Lab-373,SS-31,SS-31,10mg,1 mg/ml,10ml,5823,6594
PBVita-Lab-077,AOD-9604,AOD-9604,10mg,1 mg/ml,10ml,5781,6555
PBVita-Lab-498,GHK-Cu,GHK-Cu,50mg,5 mg/ml,10ml,5899,6671
PBVita-Lab-053,MOTS-C,MOTS-C,20mg,2 mg/ml,10ml,5825,6597
PBVita-Lab-113,NAD+,NAD+,1000mg,100 mg/ml,10ml,5878,6656
PBVita-Lab-144,Sermorelin,Sermorelin,20mg,2 mg/ml,10ml,5835,6561
PBVita-Lab-249,Selank,Selank,10mg,1 mg/ml,10ml,5893,6665
PBVita-Lab-210,TA-1,TA-1,10mg,1 mg/ml,10ml,5821,6591
PBVita-Lab-014,Tesamorelin,Tesamorelin,30mg,3 mg/ml,10ml,5843,6620
PBVita-Lab-408,Cagrilintide,Cagrilintide,25mg,5 mg/ml,5ml,5994,6770
PBVita-Lab-429,CJC/Ipamorelin,CJC/Ipamorelin,10mg/10mg,1mg/1mg/ml,10ml,4132,4857
PBVita-Lab-078,GLOW,GLOW,10/10/50mg,1mg/1mg/5mg/ml,10ml,5800,6596
